Witryna,Pozycja w bloku reklamowym,Wystartowane reklamy,Obejrzane w 25%,Obejrzane w 50%,Obejrzane w 75%,Obejrzane w 100%,Kliknięcia reklamy,Zapauzowanie reklamy,Wznowienie reklamy
493,0,12,10,10,10,10,0,0,0
493,0,20,20,20,18,17,0,0,0
493,0,40,40,37,36,33,7,4,0
493,0,52,43,36,36,32,12,8,0
493,0,19,16,14,14,14,2,1,0
493,0,85,74,64,58,53,11,8,0
493,0,1,1,0,0,0,0,0,0
493,0,4,3,3,3,2,0,0,0
493,0,247,218,202,194,183,20,13,0
493,0,93,83,73,68,65,7,2,0
493,0,1,1,1,1,1,1,2,0
493,0,1,1,1,1,1,0,0,0
493,0,1,1,0,0,0,0,0,0
493,0,1,1,1,1,1,0,0,0
493,0,43,35,33,32,31,3,2,0
493,0,82,0,0,0,0,0,0,0
493,0,2,2,1,1,1,1,0,0
493,0,2,2,2,2,2,1,1,0
493,0,10,10,10,8,8,0,0,0
493,0,5,5,4,4,3,0,0,0
493,0,18,14,13,12,12,1,1,0
493,0,128,122,115,105,102,13,12,0
493,0,5,4,4,3,3,1,0,0
493,1,50,47,48,47,47,1,1,0
493,1,1,1,1,1,1,0,0,0
493,0,6,6,5,5,5,0,0,0
493,0,29,23,22,21,21,4,3,0
493,0,1,1,1,1,1,0,0,0
493,0,21,18,17,17,17,1,1,0
493,0,3,3,3,3,3,0,0,0
493,0,1,1,1,1,1,1,1,0
493,0,11,11,11,11,10,0,0,0
493,0,484,437,410,391,379,33,15,0
493,0,49,44,37,36,33,5,3,0
493,0,1,2,2,2,2,0,0,0
493,0,40,35,32,30,27,5,4,0
493,0,1,1,1,1,1,0,0,0
493,0,3,2,1,1,1,0,0,0
493,0,2,1,1,1,1,0,0,0
493,0,1,1,1,1,1,0,0,0
493,0,1,1,1,0,0,0,0,0
493,0,92,0,0,0,0,0,0,0
493,0,2,2,2,2,1,0,0,0
493,0,1,1,1,1,1,0,0,0
493,0,3,3,3,3,3,0,0,0
493,0,2,2,2,2,2,0,0,0
493,0,4,4,3,3,3,0,0,0
493,0,3,3,3,3,3,0,0,0
493,0,5,5,5,4,3,0,0,0
