website;m;pos;adstart;adfirst;admid;adthird;adcomplete;adclick;adpaused;adresume
492;8;0;4;4;3;3;3;0;0;0
492;9;0;7;7;6;6;6;3;2;0
492;7;2;1;1;1;1;1;0;0;0
492;5;1;1;1;1;1;1;0;0;0
492;5;3;3;3;3;3;3;0;0;0
492;10;0;1;1;1;1;1;0;0;0
492;10;0;2;2;1;1;1;0;0;0
492;11;0;1;1;1;1;1;0;0;0
492;11;4;3;2;2;2;2;0;0;0
492;2;0;2;2;2;1;1;0;0;0
492;7;0;2;2;1;1;1;0;0;0
492;1;0;2;1;1;1;1;1;0;0
492;8;0;1;1;1;1;1;0;0;0
492;7;0;1;1;1;1;1;1;1;0
492;11;0;1;1;1;1;1;0;0;0
492;6;0;1;1;1;1;1;0;0;0
492;2;2;1;1;1;1;1;0;0;0
492;3;2;1;1;0;0;0;0;0;0
492;10;0;2;2;2;2;2;0;0;0
492;9;1;1;1;1;1;1;1;1;0
492;2;2;6;6;5;5;4;2;2;0
492;2;0;3;3;3;3;2;0;0;0
492;10;3;1;1;1;1;1;0;0;0
492;2;0;1;0;0;0;0;1;0;0
492;11;1;1;0;0;0;0;1;1;0
492;10;0;4;3;3;3;3;1;0;0
492;2;0;1;1;1;0;0;2;1;0
492;2;0;1;0;0;0;0;2;1;0
492;12;0;1;1;1;1;1;0;0;0
492;6;0;1;1;1;1;1;0;0;0
492;6;1;1;1;1;1;1;0;0;0
492;11;0;1;1;1;1;1;0;0;0
492;12;0;3;2;2;2;2;1;0;0
492;12;0;1;1;0;0;0;1;0;0
492;10;0;1;1;1;1;1;0;0;0
492;6;0;3;3;3;3;2;1;0;0
492;2;1;1;1;0;0;0;0;0;0
492;10;1;2;2;2;2;2;1;1;0
492;8;0;5;4;4;4;3;2;0;0
492;7;0;1;1;1;1;1;0;0;0
492;12;0;1;0;0;0;0;1;0;0
492;2;0;1;1;1;1;1;0;0;0
492;7;3;2;2;1;1;1;1;0;0
492;1;3;1;1;1;1;1;0;0;0
492;7;4;1;1;1;1;1;0;0;0
492;1;0;1;0;0;0;0;0;0;0
492;2;0;1;1;1;1;1;0;0;0
492;2;0;2;1;1;0;0;2;1;0
492;9;0;1;0;0;0;0;0;0;0
492;10;0;1;1;1;1;1;0;0;0
492;9;0;1;0;0;0;0;1;0;0
492;12;0;1;1;1;0;0;0;0;0
492;6;1;1;0;0;0;0;0;0;0
492;5;0;1;1;1;1;1;1;1;0
492;11;3;1;1;1;1;1;0;0;0
492;4;0;1;1;1;1;1;0;0;0
492;12;0;1;1;1;1;1;0;0;0
492;1;4;1;0;0;0;0;1;0;0
492;12;0;3;2;1;1;1;3;1;0
492;1;0;1;1;1;1;1;0;0;0
492;12;2;4;2;1;0;0;4;2;0
492;8;0;1;1;1;1;1;0;0;0
492;12;4;1;1;0;0;0;1;0;0
492;2;0;1;1;1;1;1;0;0;0
492;8;0;1;1;0;0;0;1;0;0
492;12;0;2;2;2;2;2;0;0;0
492;8;1;1;1;1;1;1;0;0;0
492;9;2;1;1;1;1;1;0;0;0
